Info,Scientific name,Common name,Alternate name,Family name,Scientific name2,Common name2,Alternate name2,Family name2,View
,Xiphorhynchus elegans,Elegant Woodcreeper,,Dendrocolaptidae,Xiphorhynchus elegans,Elegant Woodcreeper,,Furnariidae,
,Xiphorhynchus pardalotus,Chestnut-rumped Woodcreeper,,Dendrocolaptidae,Xiphorhynchus pardalotus,Chestnut-rumped Woodcreeper,,Furnariidae,
,Xiphorhynchus guttatus,Buff-throated Woodcreeper,,Dendrocolaptidae,,,,,
,,,,,Xiphorhynchus guttatus,Buff-throated Woodcreeper,,Furnariidae,
,,,,,Xiphorhynchus guttatoides,Lafresnaye's Woodcreeper,,Furnariidae,
,Xiphorhynchus susurrans,Cocoa Woodcreeper,,Dendrocolaptidae,Xiphorhynchus susurrans,Cocoa Woodcreeper,,Furnariidae,
,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,,Dendrocolaptidae,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,,Furnariidae,
,Xiphorhynchus lachrymosus,Black-striped Woodcreeper,,Dendrocolaptidae,Xiphorhynchus lachrymosus,Black-striped Woodcreeper,,Furnariidae,
,Xiphorhynchus erythropygius,Spotted Woodcreeper,,Dendrocolaptidae,,,,,
,,,,,Xiphorhynchus erythropygius,Northern Spotted Woodcreeper,,Furnariidae,
,,,,,Xiphorhynchus aequatorialis,Southern Spotted Woodcreeper,,Furnariidae,
,Xiphorhynchus triangularis,Olive-backed Woodcreeper,,Dendrocolaptidae,Xiphorhynchus triangularis,Olive-backed Woodcreeper,,Furnariidae,
,Lepidocolaptes leucogaster,White-striped Woodcreeper,,Dendrocolaptidae,Lepidocolaptes leucogaster,White-striped Woodcreeper,,Furnariidae,
,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,,Dendrocolaptidae,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,,Furnariidae,
,Lepidocolaptes angustirostris,Narrow-billed Woodcreeper,,Dendrocolaptidae,Lepidocolaptes angustirostris,Narrow-billed Woodcreeper,,Furnariidae,
,Lepidocolaptes affinis,Spot-crowned Woodcreeper,,Dendrocolaptidae,,,,,
,,,,,Lepidocolaptes affinis,Northern Spot-crowned Woodcreeper,,Furnariidae,
,,,,,Lepidocolaptes neglectus,Southern Spot-crowned Woodcreeper,,Furnariidae,
,Lepidocolaptes lacrymiger,Montane Woodcreeper,,Dendrocolaptidae,Lepidocolaptes lacrymiger,Montane Woodcreeper,,Furnariidae,
,Lepidocolaptes squamatus,Scaled Woodcreeper,,Dendrocolaptidae,Lepidocolaptes squamatus,Scaled Woodcreeper,,Furnariidae,
,Lepidocolaptes falcinellus,Scalloped Woodcreeper,,Dendrocolaptidae,Lepidocolaptes falcinellus,Scalloped Woodcreeper,,Furnariidae,
,Xiphorhynchus fuscus,Lesser Woodcreeper,,Dendrocolaptidae,,,,,
,,,,,Xiphorhynchus fuscus,Lesser Woodcreeper,,Furnariidae,
,,,,,Xiphorhynchus atlanticus,Atlantic Woodcreeper,,Furnariidae,
,Lepidocolaptes albolineatus,Lineated Woodcreeper,,Dendrocolaptidae,,,,,
,,,,,Lepidocolaptes albolineatus,Lineated Woodcreeper,,Furnariidae,
,,,,,Lepidocolaptes duidae,Duida Woodcreeper,,Furnariidae,
,,,,,Lepidocolaptes fuscicapillus,Dusky-capped Woodcreeper,,Furnariidae,
,,,,,Lepidocolaptes fatimalimae,Inambari Woodcreeper,,Furnariidae,
,Campylorhamphus pucherani,Greater Scythebill,,Dendrocolaptidae,Drymotoxeres pucheranii,Greater Scythebill,,Furnariidae,
,Campylorhamphus trochilirostris,Red-billed Scythebill,,Dendrocolaptidae,Campylorhamphus trochilirostris,Red-billed Scythebill,,Furnariidae,
,Campylorhamphus falcularius,Black-billed Scythebill,,Dendrocolaptidae,Campylorhamphus falcularius,Black-billed Scythebill,,Furnariidae,
,Campylorhamphus pusillus,Brown-billed Scythebill,,Dendrocolaptidae,Campylorhamphus pusillus,Brown-billed Scythebill,,Furnariidae,
,Campylorhamphus procurvoides,Curve-billed Scythebill,,Dendrocolaptidae,,,,,
,,,,,Campylorhamphus procurvoides,Curve-billed Scythebill,,Furnariidae,
,,,,,Campylorhamphus probatus,Tapajos Scythebill,,Furnariidae,
,,,,,Campylorhamphus multostriatus,Xingu Scythebill,,Furnariidae,
,Formicarius analis,Black-faced Antthrush,,Formicariidae,,,,,
,,,,,Formicarius analis,Black-faced Antthrush,,Formicariidae,
,,,,,Formicarius moniliger,Mayan Antthrush,,Formicariidae,
,Chamaeza turdina,Schwartz's Antthrush,,Formicariidae,Chamaeza turdina,Scalloped Antthrush,,Formicariidae,
,Chamaeza meruloides,Such's Antthrush,,Formicariidae,Chamaeza meruloides,Cryptic Antthrush,,Formicariidae,
,Pittasoma michleri,Black-crowned Antpitta,,Formicariidae,Pittasoma michleri,Black-crowned Pittasoma,,Conopophagidae,
,Pittasoma rufopileatum,Rufous-crowned Antpitta,,Formicariidae,Pittasoma rufopileatum,Rufous-crowned Pittasoma,,Conopophagidae,
,Grallaria squamigera,Undulated Antpitta,,Formicariidae,Grallaria squamigera,Undulated Antpitta,,Grallariidae,
,Grallaria gigantea,Giant Antpitta,,Formicariidae,Grallaria gigantea,Giant Antpitta,,Grallariidae,
,Grallaria excelsa,Great Antpitta,,Formicariidae,Grallaria excelsa,Great Antpitta,,Grallariidae,
,Grallaria varia,Variegated Antpitta,,Formicariidae,Grallaria varia,Variegated Antpitta,,Grallariidae,
,Grallaria guatimalensis,Scaled Antpitta,,Formicariidae,Grallaria guatimalensis,Scaled Antpitta,,Grallariidae,
,Grallaria alleni,Moustached Antpitta,,Formicariidae,Grallaria alleni,Moustached Antpitta,,Grallariidae,
,Grallaria chthonia,Tachira Antpitta,,Formicariidae,Grallaria chthonia,Tachira Antpitta,,Grallariidae,
,Grallaria haplonota,Plain-backed Antpitta,,Formicariidae,Grallaria haplonota,Plain-backed Antpitta,,Grallariidae,
,Grallaria dignissima,Ochre-striped Antpitta,,Formicariidae,Grallaria dignissima,Ochre-striped Antpitta,,Grallariidae,
,Grallaria eludens,Elusive Antpitta,,Formicariidae,Grallaria eludens,Elusive Antpitta,,Grallariidae,
,Grallaria kaestneri,Cundinamarca Antpitta,,Formicariidae,Grallaria kaestneri,Cundinamarca Antpitta,,Grallariidae,
,Grallaria bangsi,Santa Marta Antpitta,,Formicariidae,Grallaria bangsi,Santa Marta Antpitta,,Grallariidae,
,Grallaria ruficapilla,Chestnut-crowned Antpitta,,Formicariidae,Grallaria ruficapilla,Chestnut-crowned Antpitta,,Grallariidae,
,Grallaria watkinsi,Watkins's Antpitta,,Formicariidae,Grallaria watkinsi,Watkins's Antpitta,,Grallariidae,
,Grallaria andicolus,Stripe-headed Antpitta,,Formicariidae,Grallaria andicolus,Stripe-headed Antpitta,,Grallariidae,
,Grallaria rufocinerea,Bicoloured Antpitta,,Formicariidae,Grallaria rufocinerea,Bicolored Antpitta,,Grallariidae,
,Grallaria nuchalis,Chestnut-naped Antpitta,,Formicariidae,Grallaria nuchalis,Chestnut-naped Antpitta,,Grallariidae,
,Grallaria ridgelyi,Jocotoco Antpitta,,Formicariidae,Grallaria ridgelyi,Jocotoco Antpitta,,Grallariidae,
,Grallaria carrikeri,Pale-billed Antpitta,,Formicariidae,Grallaria carrikeri,Pale-billed Antpitta,,Grallariidae,
,Grallaria albigula,White-throated Antpitta,,Formicariidae,Grallaria albigula,White-throated Antpitta,,Grallariidae,
,Grallaria flavotincta,Yellow-breasted Antpitta,,Formicariidae,Grallaria flavotincta,Yellow-breasted Antpitta,,Grallariidae,
,Grallaria hypoleuca,White-bellied Antpitta,,Formicariidae,Grallaria hypoleuca,White-bellied Antpitta,,Grallariidae,
,Grallaria przewalskii,Rusty-tinged Antpitta,,Formicariidae,Grallaria przewalskii,Rusty-tinged Antpitta,,Grallariidae,
,Grallaria capitalis,Bay Antpitta,,Formicariidae,Grallaria capitalis,Bay Antpitta,,Grallariidae,
,Grallaria erythroleuca,Red-and-white Antpitta,,Formicariidae,Grallaria erythroleuca,Red-and-white Antpitta,,Grallariidae,
,Grallaria griseonucha,Grey-naped Antpitta,,Formicariidae,Grallaria griseonucha,Grey-naped Antpitta,,Grallariidae,
,Grallaria rufula,Rufous Antpitta,,Formicariidae,,,,,
,,,,,Grallaria rufula,Rufous Antpitta,,Grallariidae,
,,,,,Grallaria saltuensis,Perija Antpitta,,Grallariidae,
,Grallaria blakei,Chestnut Antpitta,,Formicariidae,Grallaria blakei,Chestnut Antpitta,,Grallariidae,
,Grallaria erythrotis,Rufous-faced Antpitta,,Formicariidae,Grallaria erythrotis,Rufous-faced Antpitta,,Grallariidae,
,Grallaria quitensis,Tawny Antpitta,,Formicariidae,,,,,
,,,,,Grallaria quitensis,Western Tawny Antpitta,,Grallariidae,
,,,,,Grallaria alticola,Northern Tawny Antpitta,,Grallariidae,
,,,,,Grallaria atuensis,Southern Tawny Antpitta,,Grallariidae,
,Grallaria milleri,Brown-banded Antpitta,,Formicariidae,Grallaria milleri,Brown-banded Antpitta,,Grallariidae,
,,,,,Grallaria fenwickorum,Urrao Antpitta,,Grallariidae,
,Hylopezus perspicillatus,Spectacled Antpitta,,Formicariidae,Hylopezus perspicillatus,Streak-chested Antpitta,,Grallariidae,
,Hylopezus macularius,Spotted Antpitta,,Formicariidae,Hylopezus macularius,Spotted Antpitta,,Grallariidae,
,Hylopezus auricularis,Masked Antpitta,,Formicariidae,Hylopezus auricularis,Masked Antpitta,,Grallariidae,
,Hylopezus dives,Thicket Antpitta,,Formicariidae,Hylopezus dives,Thicket Antpitta,,Grallariidae,
,Hylopezus fulviventris,White-lored Antpitta,,Formicariidae,Hylopezus fulviventris,White-lored Antpitta,,Grallariidae,
,Hylopezus berlepschi,Amazonian Antpitta,,Formicariidae,Hylopezus berlepschi,Amazonian Antpitta,,Grallariidae,
,Hylopezus ochroleucus,White-browed Antpitta,,Formicariidae,Hylopezus ochroleucus,White-browed Antpitta,,Grallariidae,
,Hylopezus nattereri,Speckle-breasted Antpitta,,Formicariidae,Hylopezus nattereri,Speckle-breasted Antpitta,,Grallariidae,
,Myrmothera campanisona,Thrush-like Antpitta,,Formicariidae,Myrmothera campanisona,Thrush-like Antpitta,,Grallariidae,
,Myrmothera simplex,Brown-breasted Antpitta,,Formicariidae,Myrmothera simplex,Tepui Antpitta,,Grallariidae,
,Grallaricula flavirostris,Ochre-breasted Antpitta,,Formicariidae,Grallaricula flavirostris,Ochre-breasted Antpitta,,Grallariidae,
,Grallaricula ferrugineipectus,Rusty-breasted Antpitta,,Formicariidae,,,,,
,,,,,Grallaricula ferrugineipectus,Rusty-breasted Antpitta,,Grallariidae,
,,,,,Grallaricula leymebambae,Rufous-breasted Antpitta,,Grallariidae,
,Grallaricula nana,Slate-crowned Antpitta,,Formicariidae,,,,,
,,,,,Grallaricula nana,Slate-crowned Antpitta,,Grallariidae,
,,,,,Grallaricula cumanensis,Sucre Antpitta,,Grallariidae,
,Grallaricula loricata,Scallop-breasted Antpitta,,Formicariidae,Grallaricula loricata,Scallop-breasted Antpitta,,Grallariidae,
,Grallaricula peruviana,Peruvian Antpitta,,Formicariidae,Grallaricula peruviana,Peruvian Antpitta,,Grallariidae,
,Grallaricula ochraceifrons,Ochre-fronted Antpitta,,Formicariidae,Grallaricula ochraceifrons,Ochre-fronted Antpitta,,Grallariidae,
,Grallaricula lineifrons,Crescent-faced Antpitta,,Formicariidae,Grallaricula lineifrons,Crescent-faced Antpitta,,Grallariidae,
,Grallaricula cucullata,Hooded Antpitta,,Formicariidae,Grallaricula cucullata,Hooded Antpitta,,Grallariidae,
,Conopophaga lineata,Rufous Gnateater,,Conopophagidae,,,,,
,,,,,Conopophaga lineata,Rufous Gnateater,,Conopophagidae,
,,,,,Conopophaga cearae,Ceara Gnateater,,Conopophagidae,
,Conopophaga aurita,Chestnut-belted Gnateater,,Conopophagidae,,,,,
,,,,,Conopophaga aurita,Chestnut-belted Gnateater,,Conopophagidae,
,,,,,Conopophaga snethlageae,Black-breasted Gnateater,,Conopophagidae,
,Melanopareia torquata,Collared Crescentchest,,Rhinocryptidae,Melanopareia torquata,Collared Crescentchest,,Melanopareiidae,
,Melanopareia maximiliani,Olive-crowned Crescentchest,,Rhinocryptidae,Melanopareia maximiliani,Olive-crowned Crescentchest,,Melanopareiidae,
,Melanopareia elegans,Elegant Crescentchest,,Rhinocryptidae,Melanopareia elegans,Elegant Crescentchest,,Melanopareiidae,
,Melanopareia maranonica,Maranon Crescentchest,,Rhinocryptidae,Melanopareia maranonica,Maranon Crescentchest,,Melanopareiidae,
,Myornis senilis,Ash-coloured Tapaculo,,Rhinocryptidae,Myornis senilis,Ash-colored Tapaculo,,Rhinocryptidae,
,Scytalopus unicolor,Unicoloured Tapaculo,,Rhinocryptidae,Scytalopus unicolor,Unicolored Tapaculo,,Rhinocryptidae,
,,,,,Scytalopus gettyae,Junin Tapaculo,,Rhinocryptidae,
,Scytalopus canus,Paramo Tapaculo,,Rhinocryptidae,,,,,
,,,,,Scytalopus canus,Paramillo Tapaculo,,Rhinocryptidae,
,,,,,Scytalopus opacus,Paramo Tapaculo,,Rhinocryptidae,
,,,,,Scytalopus perijanus,Perija Tapaculo,,Rhinocryptidae,
,Scytalopus speluncae,Mouse-coloured Tapaculo,,Rhinocryptidae,Scytalopus speluncae,Mouse-colored Tapaculo,,Rhinocryptidae,
,,,,,Scytalopus diamantinensis,Diamantina Tapaculo,,Rhinocryptidae,
,,,,,Scytalopus gonzagai,Boa Nova Tapaculo,,Rhinocryptidae,
,,,,,Scytalopus petrophilus,Rock Tapaculo,,Rhinocryptidae,
,Scytalopus rodriguezi,Upper Magdalena Tapaculo,,Rhinocryptidae,Scytalopus rodriguezi,Magdalena Tapaculo,,Rhinocryptidae,
,,,,,Scytalopus alvarezlopezi,Tatamá Tapaculo,,Rhinocryptidae,
,Ailuroedus melanotis,Spotted Catbird,,Ptilonorhynchidae,Ailuroedus melanotis,Black-eared Catbird,,Ptilonorhynchidae,
,Sericulus aureus,Masked Bowerbird,,Ptilonorhynchidae,,,,,
,,,,,Sericulus aureus,Masked Bowerbird,,Ptilonorhynchidae,
,,,,,Sericulus ardens,Flame Bowerbird,,Ptilonorhynchidae,
,Clytomyias insignis,Orange-crowned Fairywren,,Maluridae,Clytomyias insignis,Orange-crowned Fairy-wren,,Maluridae,
,Sipodotus wallacii,Wallace's Fairywren,,Maluridae,Sipodotus wallacii,Wallace's Fairy-wren,,Maluridae,
,Malurus grayi,Broad-billed Fairywren,,Maluridae,Chenorhamphus grayi,Broad-billed Fairy-wren,,Maluridae,
,Malurus alboscapulatus,White-shouldered Fairywren,,Maluridae,Malurus alboscapulatus,White-shouldered Fairy-wren,,Maluridae,
,Malurus melanocephalus,Red-backed Fairywren,,Maluridae,Malurus melanocephalus,Red-backed Fairy-wren,,Maluridae,
,Malurus leucopterus,White-winged Fairywren,,Maluridae,Malurus leucopterus,White-winged Fairy-wren,,Maluridae,
,Malurus cyaneus,Superb Fairywren,,Maluridae,Malurus cyaneus,Superb Fairy-wren,,Maluridae,
,Malurus splendens,Splendid Fairywren,,Maluridae,Malurus splendens,Splendid Fairy-wren,,Maluridae,
,Malurus lamberti,Variegated Fairywren,,Maluridae,,,,,
,,,,,Malurus lamberti,Variegated Fairy-wren,,Maluridae,
,,,,,Malurus assimilis,Purple-backed Fairy-wren,,Maluridae,
,Malurus amabilis,Lovely Fairywren,,Maluridae,Malurus amabilis,Lovely Fairy-wren,,Maluridae,
,Malurus elegans,Red-winged Fairywren,,Maluridae,Malurus elegans,Red-winged Fairy-wren,,Maluridae,
,Malurus pulcherrimus,Blue-breasted Fairywren,,Maluridae,Malurus pulcherrimus,Blue-breasted Fairy-wren,,Maluridae,
,Malurus coronatus,Purple-crowned Fairywren,,Maluridae,Malurus coronatus,Purple-crowned Fairy-wren,,Maluridae,
,Malurus cyanocephalus,Emperor Fairywren,,Maluridae,Malurus cyanocephalus,Emperor Fairy-wren,,Maluridae,
,Stipiturus ruficeps,Rufous-crowned Emuwren,,Maluridae,Stipiturus ruficeps,Rufous-crowned Emu-wren,,Maluridae,
,Stipiturus malachurus,Southern Emuwren,,Maluridae,Stipiturus malachurus,Southern Emu-wren,,Maluridae,
,Stipiturus mallee,Mallee Emuwren,,Maluridae,Stipiturus mallee,Mallee Emu-wren,,Maluridae,
,,,,,Amytornis striatus,Striated Grasswren,,Maluridae,
,Amytornis striatus,Striated Grasswren,,Maluridae,,,,,
,Amytornis goyderi,Eyrean Grasswren,,Maluridae,,,,,
,,,,,Amytornis goyderi,Eyrean Grasswren,,Maluridae,
,Amytornis textilis,Thick-billed Grasswren,,Maluridae,,,,,
,,,,,Amytornis textilis,Western Grasswren,,Maluridae,
,,,,,Amytornis modestus,Thick-billed Grasswren,,Maluridae,
,Myzomela eques,Red-throated Myzomela,,Meliphagidae,,,,,
,,,,,Myzomela eques,Ruby-throated Myzomela,,Meliphagidae,
,,,,,Myzomela cineracea,Ashy Myzomela,,Meliphagidae,
,Myzomela obscura,Dusky Myzomela,,Meliphagidae,,,,,
,,,,,Myzomela obscura,Dusky Myzomela,,Meliphagidae,
,,,,,Myzomela simplex,Moluccan Myzomela,,Meliphagidae,
,,,,,Myzomela rubrotincta,Obi Myzomela,,Meliphagidae,
,,,,,Myzomela rubrobrunnea,Red-brown Myzomela,,Meliphagidae,
,Myzomela cruentata,Red Myzomela,,Meliphagidae,,,,,
,,,,,Myzomela cruentata,Red Myzomela,,Meliphagidae,
,,,,,Myzomela erythrina,Reddish Myzomela,,Meliphagidae,
,Myzomela nigrita,Black Myzomela,,Meliphagidae,Myzomela nigrita,Papuan Black Myzomela,,Meliphagidae,
,Myzomela pulchella,Olive-yellow Myzomela,,Meliphagidae,Myzomela pulchella,New Ireland Myzomela,,Meliphagidae,
,Myzomela chloroptera,Sulawesi Myzomela,,Meliphagidae,,,,,
,,,,,Myzomela chloroptera,Sulawesi Myzomela,,Meliphagidae,
,,,,,Myzomela batjanensis,Bacan Myzomela,,Meliphagidae,
,Myzomela sclateri,Scarlet-bibbed Myzomela,,Meliphagidae,Myzomela sclateri,Sclater's Myzomela,,Meliphagidae,
,Myzomela pammelaena,Ebony Myzomela,,Meliphagidae,Myzomela pammelaena,Bismarck Black Myzomela,,Meliphagidae,
,Myzomela lafargei,Scarlet-naped Myzomela,,Meliphagidae,Myzomela lafargei,Red-capped Myzomela,,Meliphagidae,
,Myzomela eichhorni,Yellow-vented Myzomela,,Meliphagidae,Myzomela eichhorni,Crimson-rumped Myzomela,,Meliphagidae,
,Myzomela malaitae,Red-bellied Myzomela,,Meliphagidae,Myzomela malaitae,Malaita Myzomela,,Meliphagidae,
,Myzomela vulnerata,Red-rumped Myzomela,,Meliphagidae,Myzomela vulnerata,Black-breasted Myzomela,,Meliphagidae,
,Myzomela rosenbergii,Red-collared Myzomela,,Meliphagidae,,,,,
,,,,,Myzomela rosenbergii,Red-collared Myzomela,,Meliphagidae,
,,,,,Myzomela longirostris,Long-billed Myzomela,,Meliphagidae,
,Certhionyx pectoralis,Banded Honeyeater,,Meliphagidae,Cissomela pectoralis,Banded Honeyeater,,Meliphagidae,
,Certhionyx niger,Black Honeyeater,,Meliphagidae,Sugomel nigrum,Black Honeyeater,,Meliphagidae,
,Lichmera limbata,Indonesian Honeyeater,,Meliphagidae,,,,,
,,,,,Lichmera indistincta,Brown Honeyeater,,Meliphagidae,
,Lichmera indistincta,Brown Honeyeater,,Meliphagidae,,,,,
,Lichmera incana,Dark-brown Honeyeater,,Meliphagidae,Lichmera incana,Grey-eared Honeyeater,,Meliphagidae,
,Lichmera squamata,White-tufted Honeyeater,,Meliphagidae,Lichmera squamata,Scaly-breasted Honeyeater,,Meliphagidae,
,Lichmera flavicans,Yellow-eared Honeyeater,,Meliphagidae,Lichmera flavicans,Flame-eared Honeyeater,,Meliphagidae,
,Lichmera notabilis,Black-chested Honeyeater,,Meliphagidae,Lichmera notabilis,Black-necklaced Honeyeater,,Meliphagidae,
,Meliphaga montana,Forest Honeyeater,,Meliphagidae,Microptilotis montanus,Forest Honeyeater,,Meliphagidae,
,Meliphaga mimikae,Mottle-breasted Honeyeater,,Meliphagidae,Microptilotis mimikae,Mottle-breasted Honeyeater,,Meliphagidae,
,Meliphaga orientalis,Hill-forest Honeyeater,,Meliphagidae,Microptilotis orientalis,Hill-forest Honeyeater,,Meliphagidae,
,Meliphaga albonotata,Scrub Honeyeater,,Meliphagidae,Microptilotis albonotatus,Scrub Honeyeater,,Meliphagidae,
,Meliphaga analoga,Mimic Honeyeater,,Meliphagidae,Microptilotis analogus,Mimic Honeyeater,,Meliphagidae,
,Meliphaga vicina,Tagula Honeyeater,,Meliphagidae,Microptilotis vicina,Tagula Honeyeater,,Meliphagidae,
,Meliphaga gracilis,Graceful Honeyeater,,Meliphagidae,,,,,
,,,,,Microptilotis gracilis,Graceful Honeyeater,,Meliphagidae,
,,,,,Microptilotis imitatrix,Imitatress Honeyeater,,Meliphagidae,
,,,,,Microptilotis cinereifrons,Elegant Honeyeater,,Meliphagidae,
,Meliphaga flavirictus,Yellow-gaped Honeyeater,,Meliphagidae,Microptilotis flavirictus,Yellow-gaped Honeyeater,,Meliphagidae,
,Meliphaga albilineata,White-lined Honeyeater,,Meliphagidae,,,,,
,,,,,Microptilotis albilineatus,White-lined Honeyeater,,Meliphagidae,
,,,,,Microptilotis fordianus,Kimberley Honeyeater,,Meliphagidae,
,Meliphaga reticulata,Streaky-breasted Honeyeater,,Meliphagidae,Microptilotis reticulatus,Streak-breasted Honeyeater,,Meliphagidae,
,Foulehaio carunculatus,Wattled Honeyeater,,Meliphagidae,,,,,
,,,,,Foulehaio carunculatus,Polynesian Wattled Honeyeater,,Meliphagidae,
,,,,,Foulehaio taviunensis,Fiji Wattled Honeyeater,,Meliphagidae,
,,,,,Foulehaio procerior,Kikau,,Meliphagidae,
,Lichenostomus subfrenatus,Black-throated Honeyeater,,Meliphagidae,Caligavis subfrenata,Black-throated Honeyeater,,Meliphagidae,
,Lichenostomus obscurus,Obscure Honeyeater,,Meliphagidae,Caligavis obscura,Obscure Honeyeater,,Meliphagidae,
,Lichenostomus frenatus,Bridled Honeyeater,,Meliphagidae,Bolemoreus frenatus,Bridled Honeyeater,,Meliphagidae,
,Lichenostomus hindwoodi,Eungella Honeyeater,,Meliphagidae,Bolemoreus hindwoodi,Eungella Honeyeater,,Meliphagidae,
,Lichenostomus chrysops,Yellow-faced Honeyeater,,Meliphagidae,Caligavis chrysops,Yellow-faced Honeyeater,,Meliphagidae,
,Lichenostomus versicolor,Varied Honeyeater,,Meliphagidae,Gavicalis versicolor,Varied Honeyeater,,Meliphagidae,
,Lichenostomus fasciogularis,Mangrove Honeyeater,,Meliphagidae,Gavicalis fasciogularis,Mangrove Honeyeater,,Meliphagidae,
,Lichenostomus virescens,Singing Honeyeater,,Meliphagidae,Gavicalis virescens,Singing Honeyeater,,Meliphagidae,
,Lichenostomus flavus,Yellow Honeyeater,,Meliphagidae,Stomiopera flava,Yellow Honeyeater,,Meliphagidae,
,Lichenostomus unicolor,White-gaped Honeyeater,,Meliphagidae,Stomiopera unicolor,White-gaped Honeyeater,,Meliphagidae,
,Lichenostomus leucotis,White-eared Honeyeater,,Meliphagidae,Nesoptilotis leucotis,White-eared Honeyeater,,Meliphagidae,
,Lichenostomus flavicollis,Yellow-throated Honeyeater,,Meliphagidae,Nesoptilotis flavicollis,Yellow-throated Honeyeater,,Meliphagidae,
,Lichenostomus keartlandi,Grey-headed Honeyeater,,Meliphagidae,Ptilotula keartlandi,Grey-headed Honeyeater,,Meliphagidae,
,Lichenostomus flavescens,Yellow-tinted Honeyeater,,Meliphagidae,Ptilotula flavescens,Yellow-tinted Honeyeater,,Meliphagidae,
,Lichenostomus fuscus,Fuscous Honeyeater,,Meliphagidae,Ptilotula fusca,Fuscous Honeyeater,,Meliphagidae,
,Lichenostomus plumulus,Grey-fronted Honeyeater,,Meliphagidae,Ptilotula plumula,Grey-fronted Honeyeater,,Meliphagidae,
,Lichenostomus ornatus,Yellow-plumed Honeyeater,,Meliphagidae,Ptilotula ornata,Yellow-plumed Honeyeater,,Meliphagidae,
,Lichenostomus penicillatus,White-plumed Honeyeater,,Meliphagidae,Ptilotula penicillata,White-plumed Honeyeater,,Meliphagidae,
,Xanthotis provocator,Kadavu Honeyeater,,Meliphagidae,Meliphacator provocator,Kadavu Honeyeater,,Meliphagidae,
,Melithreptus lunatus,White-naped Honeyeater,,Meliphagidae,,,,,
,,,,,Melithreptus lunatus,White-naped Honeyeater,,Meliphagidae,
,,,,,Melithreptus chloropsis,Gilbert's Honeyeater,,Meliphagidae,
,,,,,Melithreptus laetior,Golden-backed Honeyeater,,Meliphagidae,
,Melithreptus gularis,Black-chinned Honeyeater,,Meliphagidae,,,,,
,,,,,Melithreptus gularis,Black-chinned Honeyeater,,Meliphagidae,
,Notiomystis cincta,Stitchbird,,Meliphagidae,Notiomystis cincta,Stitchbird,,Notiomystidae,
,Philemon inornatus,Plain Friarbird,,Meliphagidae,Philemon inornatus,Timor Friarbird,,Meliphagidae,
,,,,,Philemon kisserensis,Grey Friarbird,,Meliphagidae,
,Philemon citreogularis,Little Friarbird,,Meliphagidae,,,,,
,,,,,Philemon citreogularis,Little Friarbird,,Meliphagidae,
,Philemon moluccensis,Black-faced Friarbird,,Meliphagidae,,,,,
,,,,,Philemon moluccensis,Black-faced Friarbird,,Meliphagidae,
,,,,,Philemon plumigenis,Tanimbar Friarbird,,Meliphagidae,
,Philemon subcorniculatus,Grey-necked Friarbird,,Meliphagidae,Philemon subcorniculatus,Seram Friarbird,,Meliphagidae,
,,,,,Philemon buceroides,Helmeted Friarbird,,Meliphagidae,
,Philemon buceroides,Helmeted Friarbird,,Meliphagidae,,,,,
,Philemon novaeguineae,New Guinea Friarbird,,Meliphagidae,,,,,
,Ptiloprora meekiana,Olive-streaked Honeyeater,,Meliphagidae,Ptiloprora meekiana,Yellowish-streaked Honeyeater,,Meliphagidae,
,Ptiloprora perstriata,Black-backed Honeyeater,,Meliphagidae,Ptiloprora perstriata,Grey-streaked Honeyeater,,Meliphagidae,
,Melidectes fuscus,Sooty Melidectes,,Meliphagidae,Melidectes fuscus,Sooty Honeyeater,,Meliphagidae,
,Melidectes whitemanensis,Bismarck Melidectes,,Meliphagidae,Vosea whitemanensis,Bismarck Honeyeater,,Meliphagidae,
,Melidectes nouhuysi,Short-bearded Melidectes,,Meliphagidae,Melidectes nouhuysi,Short-bearded Honeyeater,,Meliphagidae,
,Melidectes princeps,Long-bearded Melidectes,,Meliphagidae,Melidectes princeps,Long-bearded Honeyeater,,Meliphagidae,
,Melidectes ochromelas,Cinnamon-browed Melidectes,,Meliphagidae,Melidectes ochromelas,Cinnamon-browed Honeyeater,,Meliphagidae,
,Melidectes leucostephes,Vogelkop Melidectes,,Meliphagidae,Melidectes leucostephes,Vogelkop Honeyeater,,Meliphagidae,
,Melidectes belfordi,Belford's Melidectes,,Meliphagidae,Melidectes belfordi,Belford's Honeyeater,,Meliphagidae,
,Melidectes rufocrissalis,Yellow-browed Melidectes,,Meliphagidae,Melidectes rufocrissalis,Yellow-browed Honeyeater,,Meliphagidae,
,Melidectes foersteri,Huon Melidectes,,Meliphagidae,Melidectes foersteri,Huon Honeyeater,,Meliphagidae,
,Melidectes torquatus,Ornate Melidectes,,Meliphagidae,Melidectes torquatus,Ornate Honeyeater,,Meliphagidae,
,Melidectes sclateri,San Cristobal Melidectes,,Meliphagidae,Meliarchus sclateri,Makira Honeyeater,,Meliphagidae,
,Melipotes fumigatus,Smoky Honeyeater,,Meliphagidae,,,,,
,,,,,Melipotes fumigatus,Smoky Honeyeater,,Meliphagidae,
