Scientific name,Common name,Alternate name,Family name,Scientific name2,Common name2,Alternate name2,Family name2,View
,,,,Pachycephala griseiceps,Brown Whistler,,Pachycephalidae,
Pachycephala simplex,Grey Whistler,,Pachycephalidae,,,,,
,,,,Pachycephala simplex,Grey Whistler,,Pachycephalidae,
,,,,Pachycephala pectoralis,Golden Whistler,,Pachycephalidae,
Pachycephala pectoralis,Australian Golden Whistler,,Pachycephalidae,,,,,
Pachycephala fulvotincta,Rusty-breasted Whistler,,Pachycephalidae,,,,,
,,,,Pachycephala fulvotincta,Rusty-breasted Whistler,,Pachycephalidae,
,,,,Pachycephala teysmanni,Selayar Whistler,,Pachycephalidae,
Pachycephala macrorhyncha,Yellow-throated Whistler,,Pachycephalidae,,,,,
,,,,Pachycephala par,Banda Sea Whistler,,Pachycephalidae,
Pachycephala citreogaster,Bismarck Whistler,,Pachycephalidae,,,,,
Pachycephala orioloides,Oriole Whistler,,Pachycephalidae,,,,,
,,,,Pachycephala orioloides,Oriole Whistler,,Pachycephalidae,
,,,,Pachycephala feminina,Rennell Whistler,,Pachycephalidae,
,,,,Pachycephala vitiensis,Fiji Whistler,,Pachycephalidae,
Pachycephala vitiensis,White-throated Whistler,,Pachycephalidae,,,,,
Pachycephala graeffii,Fiji Whistler,,Pachycephalidae,,,,,
Pachycephala melanura,Mangrove Golden Whistler,,Pachycephalidae,,,,,
,,,,Pachycephala melanura,Black-tailed Whistler,,Pachycephalidae,
Pachycephala caledonica,Melanesian Whistler,,Pachycephalidae,,,,,
,,,,Pachycephala caledonica,New Caledonian Whistler,,Pachycephalidae,
Pachycephala implicata,Hooded Whistler,,Pachycephalidae,,,,,
,,,,Pachycephala implicata,Guadalcanal Hooded Whistler,,Pachycephalidae,
,,,,Pachycephala richardsi,Bougainville Hooded Whistler,,Pachycephalidae,
,,,,Pachycephala griseonota,Drab Whistler,,Pachycephalidae,
Pachycephala griseonota,Drab Whistler,,Pachycephalidae,,,,,
Pachycephala johni,Cinnamon-breasted Whistler,,Pachycephalidae,,,,,
Colluricincla umbrina,Sooty Shrikethrush,,Pachycephalidae,Colluricincla tenebrosa,Sooty Shrike-thrush,,Pachycephalidae,
Colluricincla megarhyncha,Little Shrikethrush,,Pachycephalidae,Colluricincla megarhyncha,Little Shrike-thrush,,Pachycephalidae,
Colluricincla boweri,Bower's Shrikethrush,,Pachycephalidae,Colluricincla boweri,Bower's Shrike-thrush,,Pachycephalidae,
Colluricincla woodwardi,Sandstone Shrikethrush,,Pachycephalidae,Colluricincla woodwardi,Sandstone Shrike-thrush,,Pachycephalidae,
Colluricincla harmonica,Grey Shrikethrush,,Pachycephalidae,Colluricincla harmonica,Grey Shrike-thrush,,Pachycephalidae,
Colluricincla tenebrosa,Morningbird,,Pachycephalidae,Pachycephala tenebrosa,Morningbird,,Pachycephalidae,
Pitohui kirhocephalus,Variable Pitohui,,Pachycephalidae,,,,,
,,,,Pitohui kirhocephalus,Northern Variable Pitohui,,Oriolidae,
,,,,Pitohui uropygialis,Southern Variable Pitohui,,Oriolidae,
,,,,Pitohui cerviniventris,Waigeo Pitohui,,Oriolidae,
Pitohui dichrous,Hooded Pitohui,,Pachycephalidae,Pitohui dichrous,Hooded Pitohui,,Oriolidae,
Pitohui incertus,White-bellied Pitohui,,Pachycephalidae,Pseudorectes incertus,White-bellied Pitohui,,Pachycephalidae,
Pitohui ferrugineus,Rusty Pitohui,,Pachycephalidae,Pseudorectes ferrugineus,Rusty Pitohui,,Pachycephalidae,
Pitohui cristatus,Crested Pitohui,,Pachycephalidae,Ornorectes cristatus,Piping Bellbird,,Oreoicidae,
Pitohui nigrescens,Black Pitohui,,Pachycephalidae,Melanorectes nigrescens,Black Pitohui,,Pachycephalidae,
Eulacestoma nigropectus,Wattled Ploughbill,,Incertae Sedis,Eulacestoma nigropectus,Wattled Ploughbill,,Eulacestomidae,
Turnagra capensis,Piopio,,Ptilonorhynchidae,,,,,
,,,,Turnagra capensis,South Island Piopio,,Oriolidae,
,,,,Turnagra tanagra,North Island Piopio,,Oriolidae,
Platylophus galericulatus,Crested Jay,,Corvidae,Platylophus galericulatus,Crested Jay,,Platylophidae,
Platysmurus leucopterus,Black Magpie,,Corvidae,,,,,
,,,,Platysmurus leucopterus,Malay Black Magpie,,Corvidae,
,,,,Platysmurus aterrimus,Bornean Black Magpie,,Corvidae,
Aphelocoma insularis,Island Scrub Jay,,Corvidae,,,,,
,,,,Aphelocoma californica,Western Scrub-jay,,Corvidae,
Aphelocoma californica,California Scrub Jay,,Corvidae,,,,,
Aphelocoma woodhouseii,Woodhouse's Scrub Jay,,Corvidae,,,,,
Aphelocoma coerulescens,Florida Scrub Jay,,Corvidae,Aphelocoma coerulescens,Florida Scrub-jay,,Corvidae,
Aphelocoma ultramarina,Mexican Jay,,Corvidae,,,,,
,,,,Aphelocoma ultramarina,Ultramarine Jay,,Corvidae,
,,,,Aphelocoma wollweberi,Mexican Jay,,Corvidae,
Cyanolyca armillata,Black-collared Jay,,Corvidae,,,,,
,,,,Cyanolyca armillata,Black-collared Jay,,Corvidae,
,,,,Cyanolyca quindiuna,Quindio Jay,,Corvidae,
Cyanocorax caeruleus,Azure Jay,,Corvidae,Cyanocorax coeruleus,Azure Jay,,Corvidae,
Cyanocorax heilprini,Azure-naped Jay,,Corvidae,,,,,
,,,,Cyanocorax heilprini,Azure-naped Jay,,Corvidae,
,,,,Cyanocorax hafferi,Campina Jay,,Corvidae,
,,,,Cyanocorax yncas,Green Jay,,Corvidae,
Cyanocorax yncas,Inca Jay,,Corvidae,,,,,
Cyanocorax luxuosus,Green Jay,,Corvidae,,,,,
Psilorhinus morio,Brown Jay,,Corvidae,Cyanocorax morio,Brown Jay,,Corvidae,
Calocitta colliei,Black-throated Magpie-Jay,,Corvidae,Cyanocorax colliei,Black-throated Magpie-jay,,Corvidae,
Calocitta formosa,White-throated Magpie-Jay,,Corvidae,Cyanocorax formosus,White-throated Magpie-jay,,Corvidae,
Garrulus glandarius,Eurasian Jay,,Corvidae,,,,,
,,,,Garrulus glandarius,Eurasian Jay,,Corvidae,
,,,,Garrulus bispecularis,Plain-crowned Jay,,Corvidae,
,,,,Garrulus leucotis,White-faced Jay,,Corvidae,
Garrulus lidthi,Lidth's Jay,,Corvidae,Garrulus lidthi,Amami Jay,,Corvidae,
Urocissa whiteheadi,White-winged Magpie,,Corvidae,,,,,
,,,,Urocissa whiteheadi,Hainan Magpie,,Corvidae,
,,,,Urocissa xanthomelana,White-winged Magpie,,Corvidae,
Cissa thalassina,Short-tailed Green Magpie,,Corvidae,,,,,
,,,,Cissa thalassina,Javan Green Magpie,,Corvidae,
,,,,Cissa jefferyi,Bornean Green Magpie,,Corvidae,
Cyanopica cyanus,Azure-winged Magpie,,Corvidae,Cyanopica cyanus,Asian Azure-winged Magpie,,Corvidae,
Cyanopica cooki,Iberian Magpie,,Corvidae,Cyanopica cooki,Iberian Azure-winged Magpie,,Corvidae,
Dendrocitta bayleyi,Andaman Treepie,,Corvidae,Dendrocitta bayleii,Andaman Treepie,,Corvidae,
Crypsirina temia,Racket-tailed Treepie,,Corvidae,Crypsirina temia,Racquet-tailed Treepie,,Corvidae,
Pica pica,Eurasian Magpie,,Corvidae,,,,,
,,,,Pica pica,Eurasian Magpie,,Corvidae,
,,,,Pica mauritanica,Maghreb Magpie,,Corvidae,
,,,,Pica asirensis,Asir Magpie,,Corvidae,
Pica nuttalli,Yellow-billed Magpie,,Corvidae,Pica nutalli,Yellow-billed Magpie,,Corvidae,
Zavattariornis stresemanni,Stresemann's Bush Crow,,Corvidae,Zavattariornis stresemanni,Ethiopian Bushcrow,,Corvidae,
Podoces hendersoni,Henderson's Ground Jay,,Corvidae,Podoces hendersoni,Mongolian Ground-jay,,Corvidae,
Podoces biddulphi,Biddulph's Ground Jay,,Corvidae,Podoces biddulphi,Xinjiang Ground-jay,,Corvidae,
Podoces panderi,Pander's Ground Jay,,Corvidae,Podoces panderi,Turkestan Ground-jay,,Corvidae,
Podoces pleskei,Pleske's Ground Jay,,Corvidae,Podoces pleskei,Iranian Ground-jay,,Corvidae,
Parus humilis,Groundpecker,,Paridae,Pseudopodoces humilis,Ground Tit,,Paridae,
Nucifraga caryocatactes,Spotted Nutcracker,,Corvidae,,,,,
,,,,Nucifraga caryocatactes,Northern Nutcracker,,Corvidae,
,,,,Nucifraga hemispila,Southern Nutcracker,,Corvidae,
Pyrrhocorax graculus,Alpine Chough,,Corvidae,Pyrrhocorax graculus,Yellow-billed Chough,,Corvidae,
Coloeus monedula,Western Jackdaw,,Corvidae,Corvus monedula,Eurasian Jackdaw,,Corvidae,
Coloeus dauuricus,Daurian Jackdaw,,Corvidae,Corvus dauuricus,Daurian Jackdaw,,Corvidae,
,,,,Corvus palmarum,Palm Crow,,Corvidae,
Corvus palmarum,Hispaniolan Palm Crow,,Corvidae,,,,,
Corvus minutus,Cuban Palm Crow,,Corvidae,,,,,
,,,,Corvus corone,Carrion Crow,,Corvidae,
Corvus corone,Carrion Crow,,Corvidae,,,,,
Corvus cornix,Hooded Crow,,Corvidae,,,,,
,,,,Corvus macrorhynchos,Large-billed Crow,,Corvidae,
Corvus macrorhynchos,Large-billed Crow,,Corvidae,,,,,
Corvus levaillantii,Eastern Jungle Crow,,Corvidae,,,,,
Corvus culminatus,Indian Jungle Crow,,Corvidae,,,,,
Corvus torquatus,Collared Crow,,Corvidae,Corvus pectoralis,Collared Crow,,Corvidae,
Corvus corax,Northern Raven,,Corvidae,Corvus corax,Common Raven,,Corvidae,
Melampitta lugubris,Lesser Melampitta,,Incertae Sedis,Melampitta lugubris,Lesser Melampitta,,Melampittidae,
Melampitta gigantea,Greater Melampitta,,Incertae Sedis,Megalampitta gigantea,Greater Melampitta,,Melampittidae,
Cnemophilus macgregorii,Crested Satinbird,,Cnemophilidae,,,,,
,,,,Cnemophilus macgregorii,Yellow Satinbird,,Cnemophilidae,
,,,,Cnemophilus sanguineus,Red Satinbird,,Cnemophilidae,
Lycocorax pyrrhopterus,Paradise-crow,,Paradisaeidae,,,,,
,,,,Lycocorax pyrrhopterus,Halmahera Paradise-crow,,Paradisaeidae,
,,,,Lycocorax obiensis,Obi Paradise-crow,,Paradisaeidae,
Semioptera wallacii,Standardwing,,Paradisaeidae,Semioptera wallacii,Standardwing Bird-of-paradise,,Paradisaeidae,
Parotia carolae,Queen Carola's Parotia,,Paradisaeidae,Parotia carolae,Carola's Parotia,,Paradisaeidae,
,,,,Parotia lawesii,Lawes's Parotia,,Paradisaeidae,
Parotia lawesii,Lawes's Parotia,,Paradisaeidae,,,,,
Parotia helenae,Eastern Parotia,,Paradisaeidae,,,,,
Ptiloris magnificus,Magnificent Riflebird,,Paradisaeidae,Lophorina magnifica,Magnificent Riflebird,,Paradisaeidae,
Ptiloris intercedens,Growling Riflebird,,Paradisaeidae,Lophorina intercedens,Growling Riflebird,,Paradisaeidae,
Ptiloris victoriae,Victoria's Riflebird,,Paradisaeidae,Lophorina victoriae,Victoria's Riflebird,,Paradisaeidae,
Ptiloris paradiseus,Paradise Riflebird,,Paradisaeidae,Lophorina paradisea,Paradise Riflebird,,Paradisaeidae,
Diphyllodes magnificus,Magnificent Bird-of-paradise,,Paradisaeidae,Cicinnurus magnificus,Magnificent Bird-of-paradise,,Paradisaeidae,
Diphyllodes respublica,Wilson's Bird-of-paradise,,Paradisaeidae,Cicinnurus respublica,Wilson's Bird-of-paradise,,Paradisaeidae,
Astrapia stephaniae,Princess Stephanie's Astrapia,,Paradisaeidae,Astrapia stephaniae,Stephanie's Astrapia,,Paradisaeidae,
Paradisaea rudolphi,Blue Bird-of-paradise,,Paradisaeidae,Paradisornis rudolphi,Blue Bird-of-paradise,,Paradisaeidae,
Cracticus mentalis,Black-backed Butcherbird,,Cracticidae,Cracticus mentalis,Black-backed Butcherbird,,Artamidae,
Cracticus torquatus,Grey Butcherbird,,Cracticidae,,,,,
,,,,Cracticus torquatus,Grey Butcherbird,,Artamidae,
,,,,Cracticus argenteus,Silver-backed Butcherbird,,Artamidae,
Cracticus cassicus,Hooded Butcherbird,,Cracticidae,Cracticus cassicus,Hooded Butcherbird,,Artamidae,
Cracticus louisiadensis,Tagula Butcherbird,,Cracticidae,Cracticus louisiadensis,Tagula Butcherbird,,Artamidae,
Cracticus nigrogularis,Pied Butcherbird,,Cracticidae,Cracticus nigrogularis,Pied Butcherbird,,Artamidae,
Cracticus quoyi,Black Butcherbird,,Cracticidae,Melloria quoyi,Black Butcherbird,,Artamidae,
Gymnorhina tibicen,Australian Magpie,,Cracticidae,Gymnorhina tibicen,Australian Magpie,,Artamidae,
Strepera graculina,Pied Currawong,,Cracticidae,Strepera graculina,Pied Currawong,,Artamidae,
Strepera fuliginosa,Black Currawong,,Cracticidae,Strepera fuliginosa,Black Currawong,,Artamidae,
Strepera versicolor,Grey Currawong,,Cracticidae,Strepera versicolor,Grey Currawong,,Artamidae,
Pityriasis gymnocephala,Bornean Bristlehead,,Pityriaseidae,Pityriasis gymnocephala,Bornean Bristlehead,,Pityriasidae,
Peltops blainvillii,Lowland Peltops,,Cracticidae,Peltops blainvillii,Lowland Peltops,,Artamidae,
Peltops montanus,Mountain Peltops,,Cracticidae,Peltops montanus,Mountain Peltops,,Artamidae,
Artamus leucorynchus,White-breasted Woodswallow,,Artamidae,Artamus leucoryn,White-breasted Woodswallow,,Artamidae,
Oriolus melanotis,Olive-brown Oriole,,Oriolidae,,,,,
,,,,Oriolus melanotis,Timor Oriole,,Oriolidae,
,,,,Oriolus finschi,Wetar Oriole,,Oriolidae,
Oriolus bouroensis,Black-eared Oriole,,Oriolidae,Oriolus bouroensis,Buru Oriole,,Oriolidae,
Oriolus forsteni,Grey-collared Oriole,,Oriolidae,Oriolus forsteni,Seram Oriole,,Oriolidae,
Oriolus phaeochromus,Dusky-brown Oriole,,Oriolidae,Oriolus phaeochromus,Halmahera Oriole,,Oriolidae,
Oriolus isabellae,Isabella Oriole,,Oriolidae,Oriolus isabellae,Isabela Oriole,,Oriolidae,
Oriolus brachyrynchus,Western Oriole,,Oriolidae,Oriolus brachyrynchus,Western Black-headed Oriole,,Oriolidae,
Oriolus monacha,Ethiopian Oriole,,Oriolidae,Oriolus monacha,Ethiopian Black-headed Oriole,,Oriolidae,
Oriolus larvatus,Black-headed Oriole,,Oriolidae,Oriolus larvatus,Eastern Black-headed Oriole,,Oriolidae,
Oriolus cruentus,Black-and-crimson Oriole,,Oriolidae,,,,,
,,,,Oriolus cruentus,Javan Oriole,,Oriolidae,
,,,,Oriolus consanguineus,Black-and-crimson Oriole,,Oriolidae,
Sphecotheres viridis,Green Figbird,,Oriolidae,Sphecotheres viridis,Timor Figbird,,Oriolidae,
Coracina macei,Large Cuckooshrike,,Campephagidae,,,,,
,,,,Coracina macei,Indian Cuckooshrike,,Campephagidae,
,,,,Coracina javensis,Large Cuckooshrike,,Campephagidae,
Coracina javensis,Javan Cuckooshrike,,Campephagidae,,,,,
Coracina striata,Bar-bellied Cuckooshrike,,Campephagidae,,,,,
,,,,Coracina striata,Bar-bellied Cuckooshrike,,Campephagidae,
,,,,Coracina panayensis,Visayan Cuckooshrike,,Campephagidae,
,,,,Coracina papuensis,White-bellied Cuckooshrike,,Campephagidae,
Coracina papuensis,White-bellied Cuckooshrike,,Campephagidae,,,,,
Coracina ingens,Manus Cuckooshrike,,Campephagidae,,,,,
Coracina parvula,Halmahera Cuckooshrike,,Campephagidae,Edolisoma parvulum,Halmahera Cicadabird,,Campephagidae,
Coracina abbotti,Pygmy Cuckooshrike,,Campephagidae,Celebesica abbotti,Pygmy Cuckooshrike,,Campephagidae,
Coracina analis,New Caledonian Cuckooshrike,,Campephagidae,Edolisoma anale,New Caledonian Cicadabird,,Campephagidae,
Coracina pectoralis,White-breasted Cuckooshrike,,Campephagidae,Ceblepyris pectoralis,White-breasted Cuckooshrike,,Campephagidae,
Coracina caesia,Grey Cuckooshrike,,Campephagidae,Ceblepyris caesius,Grey Cuckooshrike,,Campephagidae,
Coracina azurea,Blue Cuckooshrike,,Campephagidae,Cyanograucalus azureus,Blue Cuckooshrike,,Campephagidae,
Coracina graueri,Grauer's Cuckooshrike,,Campephagidae,Ceblepyris graueri,Grauer's Cuckooshrike,,Campephagidae,
Coracina cinerea,Madagascar Cuckooshrike,,Campephagidae,Ceblepyris cinereus,Madagascar Cuckooshrike,,Campephagidae,
Coracina cucullata,Comoros Cuckooshrike,,Campephagidae,Ceblepyris cucullatus,Comoro Cuckooshrike,,Campephagidae,
Coracina typica,Mauritius Cuckooshrike,,Campephagidae,Lalage typica,Mauritius Cuckooshrike,,Campephagidae,
Coracina newtoni,Reunion Cuckooshrike,,Campephagidae,Lalage newtoni,Reunion Cuckooshrike,,Campephagidae,
Coracina coerulescens,Blackish Cuckooshrike,,Campephagidae,Edolisoma coerulescens,Blackish Cicadabird,,Campephagidae,
Coracina tenuirostris,Common Cicadabird,,Campephagidae,,,,,
,,,,Edolisoma tenuirostre,Slender-billed Cicadabird,,Campephagidae,
,,,,Edolisoma grayi,Moluccan Cicadabird,,Campephagidae,
,,,,Edolisoma obiense,Obi Cicadabird,,Campephagidae,
,,,,Edolisoma meyerii,Geelvink Cicadabird,,Campephagidae,
,,,,Edolisoma rostratum,Rossel Cicadabird,,Campephagidae,
,,,,Edolisoma remotum,Melanesian Cicadabird,,Campephagidae,
Coracina remota,Grey-capped Cicadabird,,Campephagidae,,,,,
Coracina monacha,Palau Cicadabird,,Campephagidae,Edolisoma monacha,Palau Cicadabird,,Campephagidae,
Coracina insperata,Pohnpei Cicadabird,,Campephagidae,Edolisoma insperatum,Pohnpei Cicadabird,,Campephagidae,
Coracina nesiotis,Yap Cicadabird,,Campephagidae,Edolisoma nesiotis,Yap Cicadabird,,Campephagidae,
Coracina salomonis,Makira Cicadabird,,Campephagidae,Edolisoma salomonis,Makira Cicadabird,,Campephagidae,
Coracina dohertyi,Pale-shouldered Cicadabird,,Campephagidae,Edolisoma dohertyi,Sumba Cicadabird,,Campephagidae,
Coracina sula,Sula Cicadabird,,Campephagidae,Edolisoma sula,Sula Cicadabird,,Campephagidae,
Coracina dispar,Kai Cicadabird,,Campephagidae,Edolisoma dispar,Kai Cicadabird,,Campephagidae,
Coracina mindanensis,Black-bibbed Cicadabird,,Campephagidae,Edolisoma mindanense,Black-bibbed Cicadabird,,Campephagidae,
Coracina morio,Sulawesi Cicadabird,,Campephagidae,Edolisoma morio,Sulawesi Cicadabird,,Campephagidae,
Coracina ceramensis,Pale Cicadabird,,Campephagidae,Edolisoma ceramense,Pale Cicadabird,,Campephagidae,
Coracina incerta,Black-shouldered Cicadabird,,Campephagidae,Edolisoma incertum,Black-shouldered Cicadabird,,Campephagidae,
Coracina schisticeps,Grey-headed Cuckooshrike,,Campephagidae,Edolisoma schisticeps,Grey-headed Cicadabird,,Campephagidae,
Coracina melas,Black Cicadabird,,Campephagidae,Edolisoma melas,New Guinea Cicadabird,,Campephagidae,
Coracina montana,Black-bellied Cuckooshrike,,Campephagidae,Edolisoma montanum,Black-bellied Cicadabird,,Campephagidae,
Coracina holopolia,Solomons Cuckooshrike,,Campephagidae,,,,,
,,,,Edolisoma holopolium,Solomon Cicadabird,,Campephagidae,
,,,,Edolisoma pygmaeum,New Georgia Cicadabird,,Campephagidae,
Coracina mcgregori,McGregor's Cuckooshrike,,Campephagidae,Malindangia mcgregori,McGregor's Cuckooshrike,,Campephagidae,
Coracina ostenta,White-winged Cuckooshrike,,Campephagidae,Edolisoma ostentum,White-winged Cicadabird,,Campephagidae,
Coracina polioptera,Indochinese Cuckooshrike,,Campephagidae,Lalage polioptera,Indochinese Cuckooshrike,,Campephagidae,
Coracina melaschistos,Black-winged Cuckooshrike,,Campephagidae,Lalage melaschistos,Black-winged Cuckooshrike,,Campephagidae,
Coracina fimbriata,Lesser Cuckooshrike,,Campephagidae,Lalage fimbriata,Lesser Cuckooshrike,,Campephagidae,
Coracina melanoptera,Black-headed Cuckooshrike,,Campephagidae,Lalage melanoptera,Black-headed Cuckooshrike,,Campephagidae,
Lalage melanoleuca,Black-and-white Triller,,Campephagidae,,,,,
,,,,Lalage melanoleuca,Northern Black-and-white Triller,,Campephagidae,
,,,,Lalage minor,Southern Black-and-white Triller,,Campephagidae,
Lalage moesta,White-browed Triller,,Campephagidae,Lalage moesta,Tanimbar Triller,,Campephagidae,
Lalage atrovirens,Black-browed Triller,,Campephagidae,,,,,
,,,,Lalage atrovirens,Black-browed Triller,,Campephagidae,
,,,,Lalage leucoptera,Biak Triller,,Campephagidae,
Pericrocotus cantonensis,Swinhoe's Minivet,,Campephagidae,Pericrocotus cantonensis,Brown-rumped Minivet,,Campephagidae,
Pericrocotus lansbergei,Little Minivet,,Campephagidae,Pericrocotus lansbergei,Flores Minivet,,Campephagidae,
Pericrocotus solaris,Grey-chinned Minivet,,Campephagidae,,,,,
,,,,Pericrocotus solaris,Grey-chinned Minivet,,Campephagidae,
,,,,Pericrocotus montanus,Grey-throated Minivet,,Campephagidae,
,,,,Pericrocotus flammeus,Scarlet Minivet,,Campephagidae,
Pericrocotus flammeus,Orange Minivet,,Campephagidae,,,,,
Pericrocotus speciosus,Scarlet Minivet,,Campephagidae,,,,,
Hemipus picatus,Bar-winged Flycatcher-shrike,,Tephrodornithidae,Hemipus picatus,Bar-winged Flycatcher-shrike,,Vangidae,
Hemipus hirundinaceus,Black-winged Flycatcher-shrike,,Tephrodornithidae,Hemipus hirundinaceus,Black-winged Flycatcher-shrike,,Vangidae,
Chelidorhynx hypoxantha,Yellow-bellied Fantail,,Stenostiridae,Chelidorhynx hypoxanthus,Yellow-bellied Fairy-fantail,,Stenostiridae,
Rhipidura superciliaris,Blue Fantail,,Rhipiduridae,,,,,
,,,,Rhipidura superciliaris,Mindanao Blue Fantail,,Rhipiduridae,
,,,,Rhipidura samarensis,Visayan Blue Fantail,,Rhipiduridae,
Rhipidura cyaniceps,Blue-headed Fantail,,Rhipiduridae,,,,,
,,,,Rhipidura cyaniceps,Blue-headed Fantail,,Rhipiduridae,
,,,,Rhipidura albiventris,Visayan Fantail,,Rhipiduridae,
,,,,Rhipidura sauli,Tablas Fantail,,Rhipiduridae,
Rhipidura javanica,Pied Fantail,,Rhipiduridae,,,,,
,,,,Rhipidura javanica,Sunda Pied Fantail,,Rhipiduridae,
,,,,Rhipidura nigritorquis,Philippine Pied Fantail,,Rhipiduridae,
Rhipidura rufiventris,Northern Fantail,,Rhipiduridae,,,,,
,,,,Rhipidura rufiventris,Timor Fantail,,Rhipiduridae,
,,,,Rhipidura isura,Northern Fantail,,Rhipiduridae,
,,,,Rhipidura hoedti,Banda Fantail,,Rhipiduridae,
,,,,Rhipidura obiensis,Obi Fantail,,Rhipiduridae,
,,,,Rhipidura bouruensis,Buru Fantail,,Rhipiduridae,
,,,,Rhipidura cinerea,Seram Fantail,,Rhipiduridae,
,,,,Rhipidura assimilis,Kai Fantail,,Rhipiduridae,
,,,,Rhipidura tenkatei,Roti Fantail,,Rhipiduridae,
,,,,Rhipidura kordensis,Biak Fantail,,Rhipiduridae,
Rhipidura cockerelli,Cockerell's Fantail,,Rhipiduridae,,,,,
,,,,Rhipidura cockerelli,White-winged Fantail,,Rhipiduridae,
,,,,Rhipidura coultasi,White-gorgeted Fantail,,Rhipiduridae,
Rhipidura threnothorax,Sooty Thicket Fantail,,Rhipiduridae,Rhipidura threnothorax,Sooty Thicket-fantail,,Rhipiduridae,
Rhipidura maculipectus,Black Thicket Fantail,,Rhipiduridae,Rhipidura maculipectus,Black Thicket-fantail,,Rhipiduridae,
Rhipidura leucothorax,White-bellied Thicket Fantail,,Rhipiduridae,Rhipidura leucothorax,White-bellied Thicket-fantail,,Rhipiduridae,
Rhipidura drownei,Brown Fantail,,Rhipiduridae,,,,,
,,,,Rhipidura drownei,Bougainville Fantail,,Rhipiduridae,
,,,,Rhipidura ocularis,Guadalcanal Fantail,,Rhipiduridae,
Rhipidura tenebrosa,Makira Fantail,,Rhipiduridae,Rhipidura tenebrosa,Dusky Fantail,,Rhipiduridae,
Rhipidura verreauxi,Streaked Fantail,,Rhipiduridae,,,,,
,,,,Rhipidura verreauxi,New Caledonia Streaked Fantail,,Rhipiduridae,
,,,,Rhipidura layardi,Fiji Streaked Fantail,,Rhipiduridae,
,,,,Rhipidura rufilateralis,Taveuni Streaked Fantail,,Rhipiduridae,
,,,,Rhipidura spilodera,Vanuatu Streaked Fantail,,Rhipiduridae,
Rhipidura dedemi,Streak-breasted Fantail,,Rhipiduridae,Rhipidura dedemi,Streaky-breasted Fantail,,Rhipiduridae,
Rhipidura rufifrons,Rufous Fantail,,Rhipiduridae,,,,,
,,,,Rhipidura rufifrons,Rufous Fantail,,Rhipiduridae,
,,,,Rhipidura melanolaema,White-fronted Fantail,,Rhipiduridae,
Chaetorhynchus papuensis,Pygmy Drongo,,Dicruridae,Chaetorhynchus papuensis,Drongo Fantail,,Rhipiduridae,
Dicrurus fuscipennis,Grand Comoro Drongo,,Dicruridae,Dicrurus fuscipennis,Comoro Drongo,,Dicruridae,
Dicrurus annectans,Crow-billed Drongo,,Dicruridae,Dicrurus annectens,Crow-billed Drongo,,Dicruridae,
Dicrurus remifer,Lesser Racket-tailed Drongo,,Dicruridae,Dicrurus remifer,Lesser Racquet-tailed Drongo,,Dicruridae,
Dicrurus hottentottus,Hair-crested Drongo,,Dicruridae,,,,,
,,,,Dicrurus hottentottus,Hair-crested Drongo,,Dicruridae,
,,,,Dicrurus striatus,Short-tailed Drongo,,Dicruridae,
,,,,Dicrurus menagei,Tablas Drongo,,Dicruridae,
Dicrurus megarhynchus,Paradise Drongo,,Dicruridae,Dicrurus megarhynchus,Ribbon-tailed Drongo,,Dicruridae,
Dicrurus paradiseus,Greater Racket-tailed Drongo,,Dicruridae,Dicrurus paradiseus,Greater Racquet-tailed Drongo,,Dicruridae,
Erythrocercus mccallii,Chestnut-capped Flycatcher,,Cettiidae,Erythrocercus mccallii,Chestnut-capped Flycatcher,,Scotocercidae,
Erythrocercus holochlorus,Little Yellow Flycatcher,,Cettiidae,Erythrocercus holochlorus,Little Yellow Flycatcher,,Scotocercidae,
Erythrocercus livingstonei,Livingstone's Flycatcher,,Cettiidae,Erythrocercus livingstonei,Livingstone's Flycatcher,,Scotocercidae,
Elminia longicauda,African Blue Flycatcher,,Stenostiridae,Elminia longicauda,African Blue-flycatcher,,Stenostiridae,
Elminia albicauda,White-tailed Blue Flycatcher,,Stenostiridae,Elminia albicauda,White-tailed Blue-flycatcher,,Stenostiridae,
Elminia nigromitrata,Dusky Crested Flycatcher,,Stenostiridae,Elminia nigromitrata,Dusky Crested-flycatcher,,Stenostiridae,
Elminia albiventris,White-bellied Crested Flycatcher,,Stenostiridae,Elminia albiventris,White-bellied Crested-flycatcher,,Stenostiridae,
Elminia albonotata,White-tailed Crested Flycatcher,,Stenostiridae,Elminia albonotata,White-tailed Crested-flycatcher,,Stenostiridae,
Hypothymis azurea,Black-naped Monarch,,Monarchidae,,,,,
,,,,Hypothymis azurea,Black-naped Monarch,,Monarchidae,
,,,,Hypothymis puella,Pale-blue Monarch,,Monarchidae,
Eutrichomyias rowleyi,Cerulean Paradise Flycatcher,,Monarchidae,Eutrichomyias rowleyi,Cerulean Paradise-flycatcher,,Monarchidae,
Trochocercus nitens,Blue-headed Crested Flycatcher,,Monarchidae,Trochocercus nitens,Western Crested-flycatcher,,Monarchidae,
Trochocercus cyanomelas,Blue-mantled Crested Flycatcher,,Monarchidae,,,,,
,,,,Trochocercus cyanomelas,Southern Crested-flycatcher,,Monarchidae,
,,,,Trochocercus bivittatus,Eastern Crested-flycatcher,,Monarchidae,
,,,,Terpsiphone rufiventer,Red-bellied Paradise-flycatcher,,Monarchidae,
